UniformSearch,bidirectionalSearch,tridirectionalSearch
25906,3497,1750
27633,2341,811
31831,6086,5089
30517,4977,3956
20816,2931,1511
26108,1775,939
44784,3494,1525
55169,4197,1823
17793,3873,2033
38192,9099,5339
32644,4162,2075
30946,2939,1242
7231,2937,2243
12795,4611,3926
43901,1875,897
49910,4314,2009
49184,2006,1071
43207,4457,2152
36999,6837,3884
48570,2982,1752
30954,4595,1816
43736,2402,1064
49843,2962,1121
28510,4731,3912
64526,8463,5518
49071,5941,3281
33176,2560,946
44560,5660,4059
29153,4925,2762
42320,4036,1517
39909,3240,1491
29264,2733,1407
31633,4969,3334
28624,3904,1642
16571,2855,1518
43136,9148,4137
44161,4196,3162
36734,5230,1853
23229,3603,1691
41841,2911,1252
47103,3861,3197
36944,4008,2003
34068,4875,1855
29934,1833,1048
22792,4237,1811
21822,2040,906
36465,1438,1070
32901,5539,3843
31447,2989,1380
47122,5608,4036
41645,4773,1726
29000,3704,1961
52000,1934,966
46907,4165,2054
35264,3310,1311
44190,8510,5377
52714,6418,3180
21418,2737,1456
52935,1333,571
37150,3998,2028
24857,1983,774
43001,4514,2394
38132,9313,6353
33337,9282,5234
47155,4821,3725
33579,4502,2152
33095,5358,2128
45998,3046,1408
43022,5290,1983
52328,5044,2057
34774,5398,3746
39264,4264,1840
45672,3885,2629
55945,4958,3933
59531,3783,2109
54320,2069,4121
54473,4139,1820
47976,3796,1855
25224,3602,1437
41671,4046,1657
32693,2045,728
24006,7199,4811
26539,2885,1476
35144,3379,1613
31304,4914,4099
19626,3421,1566
38257,6737,4574
42040,2181,899
33951,7488,5945
53866,8294,4017
62350,3337,3401
31367,5171,3755
52007,6940,3541
24102,777,395
45635,7174,3885
30752,2531,1046
31692,5032,1921
46576,5367,2994
29853,2703,1426
51418,5084,1789
48003,1831,814
25816,5587,3369
29312,7531,5872
40124,3939,1948
48291,4810,2182
42792,945,524
23929,3555,1475
20793,2174,977
46041,3922,1588
32066,5930,5687
,,
Uniform,BiDir,TriDir
3775440,431516,242525
,,
,,
,,
Uniform,3775440,
BiDir,431516,
TriDir,242525,
,,
,,
,,
BiDir,334392.4,
Tridir,353291.5,
,,
,,
Uniform,377544,
BiDir,43151.6,
TriDir,24252.5,
